loop: Initializing
Connecting to 60_C0_BF_2F_6E_A0
Connected to 60_C0_BF_2F_6E_A0
Device: /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0. /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021
Size: 2
Sent
Size: 17
Data (uint8): 1 0 98 3 34 51 68 85 102 119 1 0 0 0 0 2 0 
Data (hex): 1 0 62 3 22 33 44 55 66 77 1 0 0 0 0 2 0 
Version: 1
Device Capabilities(side): 0
Device Capabilities(type): 0
HiSync ID: 144115188075951974
Feature map: 0
Render delay: 25089
Reserved: 0
Supported Codecs: 0
Sent
Done.
L2CAP: Created socket 60_C0_BF_2F_6E_A0:168
L2CAP socket bound
Setting sockopts
Set recv mtu
Unable to set send mtu. Operation not permitted (1)
L2CAP: Connected to 60:C0:BF:2F:6E:A0:168
socket: 5
Writing to /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021/char0025
AudioControlPoint Written
     0 | 1337570387776 | Wrote 161 bytes
sleep(19827 μs) |    260 | 1342770510030 | Wrote 161 bytes
sleep(19826 μs) |    261 | 1342791030816 | Wrote 161 bytes
sleep(19324 μs) |    262 | 1342810482473 | Wrote 161 bytes
sleep(19873 μs) |    263 | 1342830483201 | Wrote 161 bytes
sleep(19871 μs) |    264 | 1342850497790 | Wrote 161 bytes
sleep(19860 μs) |    265 | 1342870516041 | Wrote 161 bytes
sleep(19841 μs) |    266 | 1342890450494 | Wrote 161 bytes
sleep(19909 μs) |    267 | 1342910529313 | Wrote 161 bytes
sleep(19805 μs) |    268 | 1342930506495 | Wrote 161 bytes
sleep(19831 μs) |    269 | 1342950496430 | Wrote 161 bytes
sleep(19859 μs) |    270 | 1342970481249 | Wrote 161 bytes
sleep(19877 μs) |    271 | 1342990493119 | Wrote 161 bytes
sleep(19866 μs) |    272 | 1343010464326 | Wrote 161 bytes
sleep(19896 μs) |    273 | 1343030551581 | Wrote 161 bytes
sleep(19809 μs) |    274 | 1343050486425 | Wrote 161 bytes
sleep(19873 μs) |    275 | 1343070459621 | Wrote 161 bytes
sleep(19898 μs) |    276 | 1343090521590 | Wrote 161 bytes
sleep(19834 μs) |    277 | 1343110519733 | Wrote 161 bytes
sleep(19838 μs) |    278 | 1343130523074 | Wrote 161 bytes
sleep(19835 μs) |    279 | 1343150511582 | Wrote 161 bytes
sleep(19844 μs) |    280 | 1343170486005 | Wrote 161 bytes
sleep(19869 μs) |    281 | 1343190511006 | Wrote 161 bytes
sleep(19846 μs) |    282 | 1343210533542 | Wrote 161 bytes
sleep(19823 μs) |    283 | 1343230513344 | Wrote 161 bytes
sleep(19845 μs) |    284 | 1343250510500 | Wrote 161 bytes
sleep(19846 μs) |    285 | 1343270450259 | Wrote 161 bytes
sleep(19908 μs) |    286 | 1343290520751 | Wrote 161 bytes
sleep(19834 μs) |    287 | 1343310524180 | Wrote 161 bytes
sleep(19831 μs) |    288 | 1343330525870 | Wrote 161 bytes
sleep(19830 μs) |    289 | 1343350519729 | Wrote 161 bytes
sleep(19835 μs) |    290 | 1343370466196 | Wrote 161 bytes
sleep(19892 μs) |    291 | 1343390527096 | Wrote 161 bytes
sleep(19826 μs) |    292 | 1343410483974 | Wrote 161 bytes
sleep(19871 μs) |    293 | 1343430467179 | Wrote 161 bytes
sleep(19890 μs) |    294 | 1343450517867 | Wrote 161 bytes
sleep(19838 μs) |    295 | 1343470441296 | Wrote 161 bytes
sleep(19917 μs) |    296 | 1343490513631 | Wrote 161 bytes
sleep(19845 μs) |    297 | 1343510510424 | Wrote 161 bytes
sleep(19846 μs) |    298 | 1343530446534 | Wrote 161 bytes
sleep(19911 μs) |    299 | 1343550462855 | Wrote 161 bytes
