$ ./asha-support 60_C0_BF_2F_6E_A0
loop: Initializing
Connecting to 60_C0_BF_2F_6E_A0
Connected to 60_C0_BF_2F_6E_A0
Device: /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0. /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021
Size: 2
Sent
Size: 17
Data (uint8): 1 0 98 3 34 51 68 85 102 119 1 0 0 0 0 2 0 
Data (hex): 1 0 62 3 22 33 44 55 66 77 1 0 0 0 0 2 0 
Version: 1
Device Capabilities(side): 0
Device Capabilities(type): 0
HiSync ID: 144115188075951974
Feature map: 0
Render delay: 25089
Reserved: 0
Supported Codecs: 0
Sent
Done.
L2CAP: Created socket 60_C0_BF_2F_6E_A0:168
L2CAP socket bound
Setting sockopts
Set recv mtu
Unable to set send mtu. Operation not permitted (1)
L2CAP: Connected to 60:C0:BF:2F:6E:A0:168
socket: 5
Writing to /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021/char0025
AudioControlPoint Written
     0 | 26517243972227 | Wrote 161 bytes
sleep(19755 μs) |    130 | 26519844157530 | Wrote 161 bytes
sleep(19791 μs) |    131 | 26519864042867 | Wrote 161 bytes
sleep(19901 μs) |    132 | 26519884142425 | Wrote 161 bytes
sleep(19784 μs) |    133 | 26519904135245 | Wrote 161 bytes
sleep(19789 μs) |    134 | 26519924152008 | Wrote 161 bytes
sleep(19796 μs) |    135 | 26519944104684 | Wrote 161 bytes
sleep(19844 μs) |    136 | 26519964152966 | Wrote 161 bytes
sleep(19773 μs) |    137 | 26519984152642 | Wrote 161 bytes
sleep(19776 μs) |    138 | 26520004133038 | Wrote 161 bytes
sleep(19800 μs) |    139 | 26520024121590 | Wrote 161 bytes
sleep(19811 μs) |    140 | 26520044145969 | Wrote 161 bytes
sleep(19784 μs) |    141 | 26520064142706 | Wrote 161 bytes
sleep(19788 μs) |    142 | 26520084265420 | Wrote 161 bytes
sleep(19665 μs) |    143 | 26520104128932 | Wrote 161 bytes
sleep(19804 μs) |    144 | 26520124254448 | Wrote 161 bytes
sleep(19676 μs) |    145 | 26520144243247 | Wrote 161 bytes
sleep(19688 μs) |    146 | 26520164141064 | Wrote 161 bytes
sleep(19793 μs) |    147 | 26520184114858 | Wrote 161 bytes
sleep(19818 μs) |    148 | 26520204134258 | Wrote 161 bytes
sleep(19799 μs) |    149 | 26520224134842 | Wrote 161 bytes
sleep(19799 μs) |    150 | 26520244119062 | Wrote 161 bytes
sleep(19817 μs) |    151 | 26520264073245 | Wrote 161 bytes
sleep(19860 μs) |    152 | 26520284078474 | Wrote 161 bytes
sleep(19853 μs) |    153 | 26520304151722 | Wrote 161 bytes
sleep(19778 μs) |    154 | 26520324116391 | Wrote 161 bytes
sleep(19821 μs) |    155 | 26520344054950 | Wrote 161 bytes
